UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 09:55 ?        00:00:01 /sbin/init
root         2     0  0 09:55 ?        00:00:00 [kthreadd]
root         3     2  0 09:55 ?        00:00:00 [ksoftirqd/0]
root         5     2  0 09:55 ?        00:00:00 [kworker/0:0H]
root         7     2  0 09:55 ?        00:00:01 [rcu_sched]
root         8     2  0 09:55 ?        00:00:00 [rcu_bh]
root         9     2  0 09:55 ?        00:00:00 [migration/0]
root        10     2  0 09:55 ?        00:00:00 [watchdog/0]
root        11     2  0 09:55 ?        00:00:00 [watchdog/1]
root        12     2  0 09:55 ?        00:00:00 [migration/1]
root        13     2  0 09:55 ?        00:00:00 [ksoftirqd/1]
root        15     2  0 09:55 ?        00:00:00 [kworker/1:0H]
root        16     2  0 09:55 ?        00:00:00 [khelper]
root        17     2  0 09:55 ?        00:00:00 [kdevtmpfs]
root        18     2  0 09:55 ?        00:00:00 [netns]
root        19     2  0 09:55 ?        00:00:00 [writeback]
root        20     2  0 09:55 ?        00:00:00 [kintegrityd]
root        21     2  0 09:55 ?        00:00:00 [bioset]
root        22     2  0 09:55 ?        00:00:00 [kworker/u17:0]
root        23     2  0 09:55 ?        00:00:00 [kblockd]
root        24     2  0 09:55 ?        00:00:02 [kworker/0:1]
root        25     2  0 09:55 ?        00:00:00 [ata_sff]
root        26     2  0 09:55 ?        00:00:00 [khubd]
root        27     2  0 09:55 ?        00:00:00 [md]
root        28     2  0 09:55 ?        00:00:00 [devfreq_wq]
root        30     2  0 09:55 ?        00:00:00 [khungtaskd]
root        31     2  0 09:55 ?        00:00:00 [kswapd0]
root        32     2  0 09:55 ?        00:00:00 [ksmd]
root        33     2  0 09:55 ?        00:00:00 [khugepaged]
root        34     2  0 09:55 ?        00:00:00 [fsnotify_mark]
root        35     2  0 09:55 ?        00:00:00 [ecryptfs-kthrea]
root        36     2  0 09:55 ?        00:00:00 [crypto]
root        48     2  0 09:55 ?        00:00:00 [kthrotld]
root        52     2  0 09:55 ?        00:00:01 [kworker/1:1]
root        71     2  0 09:55 ?        00:00:00 [deferwq]
root        72     2  0 09:55 ?        00:00:00 [charger_manager]
root       112     2  0 09:55 ?        00:00:00 [kworker/1:2]
root       120     2  0 09:55 ?        00:00:00 [scsi_eh_0]
root       121     2  0 09:55 ?        00:00:00 [kpsmoused]
root       122     2  0 09:55 ?        00:00:00 [scsi_eh_1]
root       123     2  0 09:55 ?        00:00:00 [scsi_eh_2]
root       124     2  0 09:55 ?        00:00:00 [scsi_eh_3]
root       125     2  0 09:55 ?        00:00:00 [scsi_eh_4]
root       126     2  0 09:55 ?        00:00:00 [scsi_eh_5]
root       127     2  0 09:55 ?        00:00:00 [kworker/u16:4]
